title,price,rating,available,category
In Her Wake,12.84,1,True,
How Music Works,37.32,2,True,
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,True,
Chase Me (Paris Nights #2),25.27,5,True,
Black Dust,34.53,5,True,
Birdsong: A Story in Pictures,54.64,3,True,
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,True,
Aladdin and His Wonderful Lamp,53.13,3,True,
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,5,True,
Wall and Piece,44.18,4,True,
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,True,
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,True,
The Elephant Tree,23.82,5,True,
The Bear and the Piano,36.89,1,True,
Sophie's World,15.94,5,True,
Penny Maybe,33.29,3,True,
Maude (1883-1993):She Grew Up with the country,18.02,2,True,
"In a Dark, Dark Wood",19.63,1,True,
Behind Closed Doors,52.22,4,True,
You can't bury them all: Poems,33.63,2,True,
